label,url
"Academia.edu","https://uregina.academia.edu/DarylHepting"
"Association for Computing Machinery","http://member.acm.org/~dhepting"
"Association for Computing Machinery DL","https://dlnext.acm.org/profile/81100496386"
"AMiner","https://aminer.org/profile/53f45b6bdabfaedd74e4095c"
"Collection of CS Bibliographies","http://liinwww.ira.uka.de/csbib?query=%2Bau:HeptingDH"
"csauthors.net","https://www.csauthors.net/daryl-h-hepting/"
"DBLP","http://dblp.uni-trier.de/pers/hd/h/Hepting:Daryl_H=.html"
"Google Knowledge Panel","https://g.co/kgs/R7kiku"
"Google Scholar","https://scholar.google.ca/citations?user=iXVS1CAAAAAJ&hl=en"
"Impactstory","https://impactstory.org/u/0000-0002-3138-3521"
"ISNI","http://www.isni.org/isni/0000000075888754"
"Interaction Design Foundation","https://www.interaction-design.org/literature/author/daryl-h-hepting"
"Mendeley","https://www.mendeley.com/profiles/daryl-hepting/"
"Microsoft Academic","https://academic.microsoft.com/#/detail/226149746"
"Library of Congress Name Authority File","http://id.loc.gov/authorities/names/no2015051738.html"
"Loop","https://loop.frontiersin.org/people/632723/overview"
"Mendeley"," https://www.mendeley.com/profiles/daryl-hepting/stats/"
"ORCID (Open Researcher and Contributor ID)","http://orcid.org/0000-0002-3138-3521"
"oURspace: University of Regina institutional repository","http://ourspace.uregina.ca/handle/10294/6891"
"philpapers","http://philpapers.org/profile/255774"
"ResearcherID","http://www.researcherid.com/rid/A-8073-2010"
"ResearchGate","https://www.researchgate.net/profile/Daryl_Hepting"
"researchr","http://researchr.org/profile/darylhepting"
"SemanticScholar","https://www.semanticscholar.org/author/Daryl-H-Hepting/2926392"
"WorldCat Identities","https://worldcat.org/identities/lccn-no2015051738/"
"Zotero","https://www.zotero.org/dhhepting/"
