response,q1,q2,q3,q4,q5,q6,q7,q8,q9
1,3,3,2,4,4,3,4,3,2
2,5,3,3,4,4,5,5,3,4
3,5,5,5,5,5,5,5,5,5
4,4,4,3,4,5,4,5,4,5
5,3,4,4,4,4,4,5,4,4
6,5,4,3,4,4,5,5,4,5
7,4,2,3,3,2,1,5,4,2
8,4,2,3,1,4,2,5,3,4
9,3,2,3,2,4,3,5,2,5
10,4,3,5,4,3,5,5,4,3
11,5,3,4,4,4,3,5,4,5
12,4,4,4,4,4,4,4,4,4
13,4,5,3,4,5,3,5,4,4
14,4,3,3,4,5,4,5,5,4
15,3,3,3,4,4,3,5,4,5
16,2,0,0,0,0,0,0,0,0
17,5,3,4,4,3,3,5,3,4
18,5,5,5,5,4,5,5,4,4
19,2,2,2,4,3,3,4,3,2
20,5,4,5,4,4,4,5,4,4
21,4,4,2,4,3,2,4,3,3
22,4,3,3,3,4,3,5,3,4
23,4,4,3,3,4,4,5,3,3
24,2,2,3,3,2,2,4,1,2
25,5,4,4,4,4,4,4,4,4
26,3,1,2,4,3,1,3,3,5
27,5,5,5,5,5,5,5,5,5
28,3,2,3,4,3,2,5,3,5
29,4,4,4,5,5,4,5,3,4
30,2,3,1,3,3,2,4,2,2
31,4,4,5,5,5,3,5,3,4
32,4,4,3,2,4,2,4,3,4
33,5,1,1,1,3,1,5,3,3
34,5,5,5,5,5,4,5,3,5
35,4,3,4,3,5,4,5,5,5
36,3,2,1,1,2,1,3,1,3
37,4,4,3,3,5,4,5,4,4
38,2,2,2,4,4,2,4,3,5
39,4,3,5,5,4,2,4,3,4
40,4,2,3,4,4,2,4,2,3
41,1,1,1,1,3,1,5,2,3
42,3,2,3,3,5,2,5,3,5
43,3,4,4,3,3,3,5,3,1
44,2,3,2,4,4,2,4,3,5
45,2,1,1,1,4,1,3,1,3
46,4,3,4,5,5,3,5,3,4
47,5,2,4,3,5,3,5,4,5
48,5,4,4,4,4,4,5,4,5
49,4,4,2,5,5,3,5,4,5
50,4,0,0,0,0,0,0,0,0
51,3,1,3,3,3,1,4,1,3
52,3,3,3,5,4,4,5,2,5
53,4,3,4,4,5,3,5,4,4
54,5,5,5,5,5,5,5,5,5
55,5,4,4,5,5,5,5,4,5
56,4,4,3,5,5,5,5,4,4
57,4,4,3,3,4,3,4,2,2
58,1,1,1,4,2,1,3,2,2
59,4,4,3,4,4,3,4,4,4
60,3,2,3,0,3,3,3,3,3
61,5,4,5,5,5,5,5,5,5
62,5,5,5,5,5,5,5,5,5
63,5,3,1,5,4,1,5,3,5
64,5,3,1,5,3,4,5,2,5
65,5,5,5,4,5,5,5,5,5
66,5,2,1,1,5,1,5,5,1
67,2,1,2,1,3,1,4,3,5
68,4,3,4,5,5,3,5,4,4
69,5,4,5,4,5,4,5,3,5
70,3,1,1,2,4,2,4,2,5
71,5,5,5,5,5,5,5,5,5
summary,5,5,5,5,5,5,5,5,5
