Times,Monday,Tuesday,Wednesday,Thursday,Friday
08:30,B_Busy,B_Busy,B_Busy,M_Meetings,B_Busy
09:00,B_Busy,B_Busy,B_Busy,M_Meetings,B_Busy
09:30,B_Busy,B_Busy,B_Busy,M_Meetings,B_Busy
10:00,B_Busy,O_Office,B_Busy,M_Meetings,B_Busy
10:30,B_Busy,O_Office,B_Busy,M_Meetings,B_Busy
11:00,B_Busy,O_Office,B_Busy,M_Meetings,B_Busy
11:30,B_Busy,O_Office,B_Busy,M_Meetings,B_Busy
12:00,B_Busy,B_Busy,B_Busy,M_Meetings,B_Busy
12:30,B_Busy,B_Busy,B_Busy,M_Meetings,B_Busy
13:00,B_Busy,B_Busy,B_Busy,M_Meetings,B_Busy
13:30,C_CS-428+828,B_Busy,C_CS-428+828,M_Meetings,C_CS-428+828
14:00,C_CS-428+828,B_Busy,C_CS-428+828,M_Meetings,C_CS-428+828
14:30,O_Office,B_Busy,B_Busy,M_Meetings,B_Busy
15:00,O_Office,B_Busy,B_Busy,M_Meetings,B_Busy
15:30,O_Office,B_Busy,B_Busy,M_Meetings,B_Busy
16:00,B_Busy,B_Busy,B_Busy,M_Meetings,B_Busy
16:30,B_Busy,B_Busy,B_Busy,M_Meetings,B_Busy
