Times,Mon,Tue,Wed,Thu,Fri
00:00-08:30,B_,B_,B_,B_,B_
08:30-09:00,R_Reserved,R_Reserved,R_Reserved,R_Reserved,R_Reserved
09:00-09:30,R_Reserved,R_Reserved,R_Reserved,R_Reserved,R_Reserved
09:30-10:00,C_CS-428+828,R_Reserved,C_CS-428+828,R_Reserved,C_CS-428+828
10:00-10:30,C_CS-428+828,R_Reserved,C_CS-428+828,R_Reserved,C_CS-428+828
10:30-11:00,O_Office,R_Reserved,O_Office,R_Reserved,B_
11:00-11:30,O_Office,R_Reserved,O_Office,R_Reserved,B_
11:30-12:00,O_Office,C_CS-733,O_Office,C_CS-733,B_
12:00-12:30,B_,C_CS-733,B_,C_CS-733,B_
12:30-13:00,B_,C_CS-733,B_,C_CS-733,B_
13:00-13:30,B_,O_Office,R_Reserved,O_Office,B_
13:30-14:00,B_,O_Office,R_Reserved,O_Office,B_
14:00-14:30,B_,O_Office,R_Reserved,O_Office,B_
14:30-15:00,R_Reserved,B_,R_Reserved,B_,B_
15:00-15:30,R_Reserved,R_Reserved,B_,B_,B_
15:30-16:00,C_CS-499+900,R_Reserved,C_CS-499+900,B_,C_CS-499+900
16:00-16:30,C_CS-499+900,R_Reserved,C_CS-499+900,B_,C_CS-499+900
16:30-17:00,B_,R_Reserved,B_,B_,B_
17:00-17:30,B_,B_,B_,B_,B_
17:30-23:59,B_,B_,B_,B_,B_
