meeting,total_mtgs,week,total_wks,week_of,date,file,wikipage_id,response_id,quiz_id
1,26,1,14,Mon-08-Jan-2024,Tue-09-Jan-2024,01_Tue-09-Jan-2024.html,9228,2502337,0
2,26,1,14,Mon-08-Jan-2024,Thu-11-Jan-2024,02_Thu-11-Jan-2024.html,9229,2510334,2511211
3,26,2,14,Mon-15-Jan-2024,Tue-16-Jan-2024,03_Tue-16-Jan-2024.html,9230,2510332,2511212
4,26,2,14,Mon-15-Jan-2024,Thu-18-Jan-2024,04_Thu-18-Jan-2024.html,9231,2510331,2511217
5,26,3,14,Mon-22-Jan-2024,Tue-23-Jan-2024,05_Tue-23-Jan-2024.html,9232,2510330,2511218
6,26,3,14,Mon-22-Jan-2024,Thu-25-Jan-2024,06_Thu-25-Jan-2024.html,9233,2510328,2511219
7,26,4,14,Mon-29-Jan-2024,Tue-30-Jan-2024,07_Tue-30-Jan-2024.html,9234,2510327,2511220
8,26,4,14,Mon-29-Jan-2024,Thu-01-Feb-2024,08_Thu-01-Feb-2024.html,9235,2510326,2511221
9,26,5,14,Mon-05-Feb-2024,Tue-06-Feb-2024,09_Tue-06-Feb-2024.html,9236,2510325,2511222
10,26,5,14,Mon-05-Feb-2024,Thu-08-Feb-2024,10_Thu-08-Feb-2024.html,9237,2510324,2511223
11,26,6,14,Mon-12-Feb-2024,Tue-13-Feb-2024,11_Tue-13-Feb-2024.html,9238,2510323,2511224
12,26,6,14,Mon-12-Feb-2024,Thu-15-Feb-2024,12_Thu-15-Feb-2024.html,9239,2510322,2511225
13,26,8,14,Mon-26-Feb-2024,Tue-27-Feb-2024,13_Tue-27-Feb-2024.html,9240,2510549,2511230
14,26,8,14,Mon-26-Feb-2024,Thu-29-Feb-2024,14_Thu-29-Feb-2024.html,9241,0,0
15,26,9,14,Mon-04-Mar-2024,Tue-05-Mar-2024,15_Tue-05-Mar-2024.html,9242,2510548,2511231
16,26,9,14,Mon-04-Mar-2024,Thu-07-Mar-2024,16_Thu-07-Mar-2024.html,9243,2510546,2511232
17,26,10,14,Mon-11-Mar-2024,Tue-12-Mar-2024,17_Tue-12-Mar-2024.html,9244,2510545,2511233
18,26,10,14,Mon-11-Mar-2024,Thu-14-Mar-2024,18_Thu-14-Mar-2024.html,9245,2510544,2511234
19,26,11,14,Mon-18-Mar-2024,Tue-19-Mar-2024,19_Tue-19-Mar-2024.html,9246,2510543,2511236
20,26,11,14,Mon-18-Mar-2024,Thu-21-Mar-2024,20_Thu-21-Mar-2024.html,9247,2510542,2511237
21,26,12,14,Mon-25-Mar-2024,Tue-26-Mar-2024,21_Tue-26-Mar-2024.html,9248,2510541,2511238
22,26,12,14,Mon-25-Mar-2024,Thu-28-Mar-2024,22_Thu-28-Mar-2024.html,9249,2510540,2511239
23,26,13,14,Mon-01-Apr-2024,Tue-02-Apr-2024,23_Tue-02-Apr-2024.html,9250,2510555,2511240
24,26,13,14,Mon-01-Apr-2024,Thu-04-Apr-2024,24_Thu-04-Apr-2024.html,9251,2510554,2511241
25,26,14,14,Mon-08-Apr-2024,Tue-09-Apr-2024,25_Tue-09-Apr-2024.html,9252,2510552,2511304
26,26,14,14,Mon-08-Apr-2024,Thu-11-Apr-2024,26_Thu-11-Apr-2024.html,9253,2510547,2511305
