response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,5,4,4,4,5,5,5,5,5,4.67,0.50,5,5
2,5,5,4,5,5,5,4,5,5,4.78,0.44,5,5
3,4,4,3,5,5,4,5,3,5,4.22,0.83,5,4
4,3,3,3,2,4,4,5,4,5,3.67,1.00,3,4
5,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
6,5,3,4,3,5,5,5,5,5,4.44,0.88,5,5
7,3,3,5,3,5,3,5,4,5,4.00,1.00,3,4
8,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
9,4,3,4,4,5,5,5,5,5,4.44,0.73,5,5
10,4,5,4,3,5,3,5,5,5,4.33,0.87,5,5
11,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
12,5,4,4,4,5,4,5,5,5,4.56,0.53,5,5
13,3,2,4,2,4,3,5,4,5,3.56,1.13,4,4
14,4,5,5,4,5,5,5,5,5,4.78,0.44,5,5
15,5,4,4,5,4,5,5,4,5,4.56,0.53,5,5
16,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
17,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
18,5,4,3,4,4,5,5,4,5,4.33,0.71,5,4
19,4,4,3,4,3,3,5,2,3,3.44,0.88,3,3
20,5,4,5,5,5,4,5,5,5,4.78,0.44,5,5
21,3,3,3,2,4,3,4,3,3,3.11,0.60,3,3
22,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
23,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
24,4,3,3,3,4,4,5,5,5,4.00,0.87,4,4
25,5,5,4,5,5,5,5,4,5,4.78,0.44,5,5
26,5,2,5,1,5,5,5,4,4,4.00,1.50,5,5
27,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
28,4,4,5,5,4,4,5,4,5,4.44,0.53,4,4
29,5,4,3,4,4,4,5,4,5,4.22,0.67,4,4
30,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
31,3,2,2,3,5,5,5,5,5,3.89,1.36,5,5
32,3,4,4,3,5,2,5,4,4,3.78,0.97,4,4
33,5,1,5,5,5,5,5,5,5,4.56,1.33,5,5
34,2,1,1,3,3,2,4,3,2,2.33,1.00,2,2
35,5,5,5,4,5,5,5,5,5,4.89,0.33,5,5
36,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
37,5,5,4,5,4,5,5,3,4,4.44,0.73,5,5
38,4,3,4,5,5,5,5,3,5,4.33,0.87,5,5
39,5,4,4,4,5,5,5,5,5,4.67,0.50,5,5
40,5,4,5,4,5,4,5,5,5,4.67,0.50,5,5
41,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
42,5,4,4,5,5,5,5,5,5,4.78,0.44,5,5
43,5,4,4,4,4,4,5,4,4,4.22,0.44,4,4
44,4,5,4,5,5,5,5,5,5,4.78,0.44,5,5
45,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
46,5,4,5,5,5,5,5,4,5,4.78,0.44,5,5
47,5,5,4,5,5,4,5,5,5,4.78,0.44,5,5
48,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
49,4,5,4,5,5,5,5,4,5,4.67,0.50,5,5
50,5,4,5,5,5,4,5,5,5,4.78,0.44,5,5
51,4,4,5,3,5,5,5,5,4,4.44,0.73,5,5
52,5,4,5,4,5,5,5,4,5,4.67,0.50,5,5
53,5,3,4,4,3,4,5,5,5,4.22,0.83,5,4
54,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
55,5,4,3,4,4,4,5,4,4,4.11,0.60,4,4
56,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
57,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
58,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
59,5,4,5,5,5,4,5,4,5,4.67,0.50,5,5
60,5,3,5,5,5,3,5,4,5,4.44,0.88,5,5
61,5,4,5,5,5,5,5,5,5,4.89,0.33,5,5
62,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
63,5,5,5,4,5,5,5,5,5,4.89,0.33,5,5
64,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
65,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
66,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
67,5,5,5,4,4,3,5,4,4,4.33,0.71,5,4
68,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
69,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
70,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
71,4,3,4,3,4,4,5,3,4,3.78,0.67,4,4
72,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
73,4,4,4,3,4,3,4,3,5,3.78,0.67,4,4
74,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
75,5,4,5,4,5,5,5,4,5,4.67,0.50,5,5
Avg,4.63,4.20,4.39,4.33,4.73,4.51,4.95,4.52,4.80,4.56,0.24,,
SD,0.89,0.84,0.84,1.30,0.45,0.55,0.45,0.89,0.00,,,,
Mode,5,4,4,5,5,5,5,5,5,,,,
Median,5,4,4,5,5,5,5,5,5,,,,
5,55,37,42,44,58,50,71,48,64,469,,,
4,13,23,23,17,14,15,4,19,8,136,,,
3,6,10,8,10,3,8,0,7,2,54,,,
2,1,3,1,3,0,2,0,1,1,12,,,
1,0,2,1,1,0,0,0,0,0,4,,,
Total,75,75,75,75,75,75,75,75,75,675,,,
