aid,title,marks,lms_discuss,lms_submit,duedate
#P_PROP,"Project Proposal",3,560298,613230,15-Oct-2020
#I_EMP,"Empathize",6,560281,721281,10-Oct-2020
P_UNDERSTAND,"Understand Your Project",10,568248,738912,22-Oct-2020
#I_CU,"Critique a Project",6,569606,738912,31-Oct-2020
#P_DES,"Design",6,574037,626706,14-Nov-2020
#I_RATS,"Report as Test Subject",6,584922,854940,28-Nov-2020
#I_U_YC,"You Choose (Undergrad)",12,586612,721284,10-Dec-2020
#I_G_RPR,"Research Paper Review (Grad)",12,586613,721286,10-Dec-2020
#P_LOFI,"Evaluate Low-Fidelity Prototypes",6,0,282095,26-Nov-2020
#P_VID,"Video Presentation",3,0,746344,3-Dec-2020
#P_HIFI,"High Fidelity",6,586610,856422,10-Dec-2020
