meeting,total_mtgs,date,file,wikipage_id
01,36,Wed-31-Aug-2022,01_Wed-31-Aug-2022.html,8827
02,36,Fri-02-Sep-2022,02_Fri-02-Sep-2022.html,8828
03,36,Wed-07-Sep-2022,03_Wed-07-Sep-2022.html,8829
04,36,Fri-09-Sep-2022,04_Fri-09-Sep-2022.html,8830
05,36,Mon-12-Sep-2022,05_Mon-12-Sep-2022.html,8838
06,36,Wed-14-Sep-2022,06_Wed-14-Sep-2022.html,8839
07,36,Fri-16-Sep-2022,07_Fri-16-Sep-2022.html,8840
08,36,Mon-19-Sep-2022,08_Mon-19-Sep-2022.html,8841
09,36,Wed-21-Sep-2022,09_Wed-21-Sep-2022.html,8842
10,36,Fri-23-Sep-2022,10_Fri-23-Sep-2022.html,8843
11,36,Mon-26-Sep-2022,11_Mon-26-Sep-2022.html,8844
12,36,Wed-28-Sep-2022,12_Wed-28-Sep-2022.html,8845
13,36,Mon-03-Oct-2022,13_Mon-03-Oct-2022.html,8905
14,36,Wed-05-Oct-2022,14_Wed-05-Oct-2022.html,8907
15,36,Fri-07-Oct-2022,15_Fri-07-Oct-2022.html,8904
16,36,Wed-12-Oct-2022,16_Wed-12-Oct-2022.html,8909
17,36,Fri-14-Oct-2022,17_Fri-14-Oct-2022.html,8911
18,36,Mon-17-Oct-2022,18_Mon-17-Oct-2022.html,8910
19,36,Wed-19-Oct-2022,19_Wed-19-Oct-2022.html,8912
20,36,Fri-21-Oct-2022,20_Fri-21-Oct-2022.html,8917
21,36,Mon-24-Oct-2022,21_Mon-24-Oct-2022.html,wiki
22,36,Wed-26-Oct-2022,22_Wed-26-Oct-2022.html,wiki
23,36,Fri-28-Oct-2022,23_Fri-28-Oct-2022.html,wiki
24,36,Mon-31-Oct-2022,24_Mon-31-Oct-2022.html,wiki
25,36,Wed-02-Nov-2022,25_Wed-02-Nov-2022.html,wiki
26,36,Fri-04-Nov-2022,26_Fri-04-Nov-2022.html,wiki
27,36,Mon-14-Nov-2022,27_Mon-14-Nov-2022.html,wiki
28,36,Wed-16-Nov-2022,28_Wed-16-Nov-2022.html,wiki
29,36,Fri-18-Nov-2022,29_Fri-18-Nov-2022.html,wiki
30,36,Mon-21-Nov-2022,30_Mon-21-Nov-2022.html,wiki
31,36,Wed-23-Nov-2022,31_Wed-23-Nov-2022.html,wiki
32,36,Fri-25-Nov-2022,32_Fri-25-Nov-2022.html,wiki
33,36,Mon-28-Nov-2022,33_Mon-28-Nov-2022.html,wiki
34,36,Wed-30-Nov-2022,34_Wed-30-Nov-2022.html,wiki
35,36,Fri-02-Dec-2022,35_Fri-02-Dec-2022.html,wiki
36,36,Mon-05-Dec-2022,36_Mon-05-Dec-2022.html,wiki
