meeting,total_mtgs,date,file,wikipage_id
01,24,Tue-11-Jan-2022,01_Tue-11-Jan-2022.html,8490
02,24,Thu-13-Jan-2022,02_Thu-13-Jan-2022.html,8491
03,24,Tue-18-Jan-2022,03_Tue-18-Jan-2022.html,8492
04,24,Thu-20-Jan-2022,04_Thu-20-Jan-2022.html,8493
05,24,Tue-25-Jan-2022,05_Tue-25-Jan-2022.html,8494
06,24,Thu-27-Jan-2022,06_Thu-27-Jan-2022.html,8495
07,24,Tue-01-Feb-2022,07_Tue-01-Feb-2022.html,8496
08,24,Thu-03-Feb-2022,08_Thu-03-Feb-2022.html,8497
09,24,Tue-08-Feb-2022,09_Tue-08-Feb-2022.html,8498
10,24,Thu-10-Feb-2022,10_Thu-10-Feb-2022.html,8499
11,24,Tue-15-Feb-2022,11_Tue-15-Feb-2022.html,8500
12,24,Thu-17-Feb-2022,12_Thu-17-Feb-2022.html,8501
13,24,Tue-01-Mar-2022,13_Tue-01-Mar-2022.html,8502
14,24,Thu-03-Mar-2022,14_Thu-03-Mar-2022.html,8503
15,24,Tue-08-Mar-2022,15_Tue-08-Mar-2022.html,8504
16,24,Thu-10-Mar-2022,16_Thu-10-Mar-2022.html,8505
17,24,Tue-15-Mar-2022,17_Tue-15-Mar-2022.html,8506
18,24,Thu-17-Mar-2022,18_Thu-17-Mar-2022.html,8507
19,24,Tue-22-Mar-2022,19_Tue-22-Mar-2022.html,8508
20,24,Thu-24-Mar-2022,20_Thu-24-Mar-2022.html,8509
21,24,Tue-29-Mar-2022,21_Tue-29-Mar-2022.html,8510
22,24,Thu-31-Mar-2022,22_Thu-31-Mar-2022.html,8511
23,24,Tue-05-Apr-2022,23_Tue-05-Apr-2022.html,8512
24,24,Thu-07-Apr-2022,24_Thu-07-Apr-2022.html,8513
