meeting,total_mtgs,date,file,wikipage_id,response_id
1,25,Wed-30-Aug-2023,01_Wed-30-Aug-2023.html,9105,2336380
2,25,Wed-06-Sep-2023,02_Wed-06-Sep-2023.html,9106,2370439
3,25,Mon-11-Sep-2023,03_Mon-11-Sep-2023.html,9107,2372707
4,25,Wed-13-Sep-2023,04_Wed-13-Sep-2023.html,9108,2372710
5,25,Mon-18-Sep-2023,05_Mon-18-Sep-2023.html,9109,2372717
6,25,Wed-20-Sep-2023,06_Wed-20-Sep-2023.html,9110,2372994
7,25,Mon-25-Sep-2023,07_Mon-25-Sep-2023.html,9111,2372998
8,25,Wed-27-Sep-2023,08_Wed-27-Sep-2023.html,9112,2373000
9,25,Mon-02-Oct-2023,09_Mon-02-Oct-2023.html,9113,2373022
10,25,Wed-04-Oct-2023,10_Wed-04-Oct-2023.html,9114,2373025
11,25,Mon-16-Oct-2023,11_Mon-16-Oct-2023.html,9115,2373027
12,25,Wed-18-Oct-2023,12_Wed-18-Oct-2023.html,9116,2373029
13,25,Mon-23-Oct-2023,13_Mon-23-Oct-2023.html,9117,2373031
14,25,Wed-25-Oct-2023,14_Wed-25-Oct-2023.html,9118,2373037
15,25,Mon-30-Oct-2023,15_Mon-30-Oct-2023.html,9119,2373045
16,25,Wed-01-Nov-2023,16_Wed-01-Nov-2023.html,9120,2373048
17,25,Mon-06-Nov-2023,17_Mon-06-Nov-2023.html,9121,2373052
18,25,Wed-08-Nov-2023,18_Wed-08-Nov-2023.html,9122,2373055
19,25,Mon-13-Nov-2023,19_Mon-13-Nov-2023.html,9123,2373056
20,25,Wed-15-Nov-2023,20_Wed-15-Nov-2023.html,9124,2373064
21,25,Mon-20-Nov-2023,21_Mon-20-Nov-2023.html,9125,2373066
22,25,Wed-22-Nov-2023,22_Wed-22-Nov-2023.html,9126,2373072
23,25,Mon-27-Nov-2023,23_Mon-27-Nov-2023.html,9127,2373078
24,25,Wed-29-Nov-2023,24_Wed-29-Nov-2023.html,9128,2373079
25,25,Mon-04-Dec-2023,25_Mon-04-Dec-2023.html,9129,2373081
