week,start_date,meetings,topics,notes
01,Mon-28-Aug-2023,01_Wed-30-Aug-2023.html,Lots,None
02,Mon-04-Sep-2023,02_Wed-06-Sep-2023.html,Lots,None
03,Mon-11-Sep-2023,"03_Mon-11-Sep-2023.html,04_Wed-13-Sep-2023.html",Lots,None
04,Mon-18-Sep-2023,"05_Mon-18-Sep-2023.html,06_Wed-20-Sep-2023.html",Lots,None
05,Mon-25-Sep-2023,"07_Mon-25-Sep-2023.html,08_Wed-27-Sep-2023.html",Lots,None
06,Mon-02-Oct-2023,"09_Mon-02-Oct-2023.html,10_Wed-04-Oct-2023.html",Lots,None
07,Mon-09-Oct-2023,,Lots,None
08,Mon-16-Oct-2023,"11_Mon-16-Oct-2023.html,12_Wed-18-Oct-2023.html",Lots,None
09,Mon-23-Oct-2023,"13_Mon-23-Oct-2023.html,14_Wed-25-Oct-2023.html",Lots,None
10,Mon-30-Oct-2023,"15_Mon-30-Oct-2023.html,16_Wed-01-Nov-2023.html",Lots,None
11,Mon-06-Nov-2023,"17_Mon-06-Nov-2023.html,18_Wed-08-Nov-2023.html",Lots,None
12,Mon-13-Nov-2023,"19_Mon-13-Nov-2023.html,20_Wed-15-Nov-2023.html",Lots,None
13,Mon-20-Nov-2023,"21_Mon-20-Nov-2023.html,22_Wed-22-Nov-2023.html",Lots,None
14,Mon-27-Nov-2023,"23_Mon-27-Nov-2023.html,24_Wed-29-Nov-2023.html",Lots,None
15,Mon-04-Dec-2023,25_Mon-04-Dec-2023.html,Lots,None
