id,name
CS-110,Programming and Problem Solving
CS-205,Introduction to Multimedia Systems
CS-215,Web Oriented Programming
CS-230,Introduction to Computer Science III
CS-305,Human Computer Communication
CS-305+828,Human Computer Communication
CS-325,Introduction to Multimedia Systems
CS-330,Introduction to Operating Systems
FILM-385AB,Introduction to Multimedia Systems
CS-280,Risk and Reward in the Information Society
CS-428,Human Computer Communication
CS-428+828,Human Computer Communication
CS-428+730,HCI Fundamentals
CS-730,HCI Fundamentals
CS-733,Computer Graphics & Animation
CS-828,Human Computer Communication
CS-315+733,Introduction to Computer Graphics
CS-405+805,Computer Graphics
