response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,3,3,2,4,4,3,4,3,2,3.11,0.78,3,3
2,5,3,3,4,4,5,5,3,4,4.00,0.87,5,4
3,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
4,4,4,3,4,5,4,5,4,5,4.22,0.67,4,4
5,3,4,4,4,4,4,5,4,4,4.00,0.50,4,4
6,5,4,3,4,4,5,5,4,5,4.33,0.71,5,4
7,4,2,3,3,2,1,5,4,2,2.89,1.27,2,3
8,4,2,3,1,4,2,5,3,4,3.11,1.27,4,3
9,3,2,3,2,4,3,5,2,5,3.22,1.20,3,3
10,4,3,5,4,3,5,5,4,3,4.00,0.87,4,4
11,5,3,4,4,4,3,5,4,5,4.11,0.78,4,4
12,4,4,4,4,4,4,4,4,4,4.00,0.00,4,4
13,4,5,3,4,5,3,5,4,4,4.11,0.78,4,4
14,4,3,3,4,5,4,5,5,4,4.11,0.78,4,4
15,3,3,3,4,4,3,5,4,5,3.78,0.83,3,4
16,2,0,0,0,0,0,0,0,0,0.22,0.67,0,0
17,5,3,4,4,3,3,5,3,4,3.78,0.83,3,4
18,5,5,5,5,4,5,5,4,4,4.67,0.50,5,5
19,2,2,2,4,3,3,4,3,2,2.78,0.83,2,3
20,5,4,5,4,4,4,5,4,4,4.33,0.50,4,4
21,4,4,2,4,3,2,4,3,3,3.22,0.83,4,3
22,4,3,3,3,4,3,5,3,4,3.56,0.73,3,3
23,4,4,3,3,4,4,5,3,3,3.67,0.71,4,4
24,2,2,3,3,2,2,4,1,2,2.33,0.87,2,2
25,5,4,4,4,4,4,4,4,4,4.11,0.33,4,4
26,3,1,2,4,3,1,3,3,5,2.78,1.30,3,3
27,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
28,3,2,3,4,3,2,5,3,5,3.33,1.12,3,3
29,4,4,4,5,5,4,5,3,4,4.22,0.67,4,4
30,2,3,1,3,3,2,4,2,2,2.44,0.88,2,2
31,4,4,5,5,5,3,5,3,4,4.22,0.83,5,4
32,4,4,3,2,4,2,4,3,4,3.33,0.87,4,4
33,5,1,1,1,3,1,5,3,3,2.56,1.67,1,3
34,5,5,5,5,5,4,5,3,5,4.67,0.71,5,5
35,4,3,4,3,5,4,5,5,5,4.22,0.83,5,4
36,3,2,1,1,2,1,3,1,3,1.89,0.93,1,2
37,4,4,3,3,5,4,5,4,4,4.00,0.71,4,4
38,2,2,2,4,4,2,4,3,5,3.11,1.17,2,3
39,4,3,5,5,4,2,4,3,4,3.78,0.97,4,4
40,4,2,3,4,4,2,4,2,3,3.11,0.93,4,3
41,1,1,1,1,3,1,5,2,3,2.00,1.41,1,1
42,3,2,3,3,5,2,5,3,5,3.44,1.24,3,3
43,3,4,4,3,3,3,5,3,1,3.22,1.09,3,3
44,2,3,2,4,4,2,4,3,5,3.22,1.09,2,3
45,2,1,1,1,4,1,3,1,3,1.89,1.17,1,1
46,4,3,4,5,5,3,5,3,4,4.00,0.87,4,4
47,5,2,4,3,5,3,5,4,5,4.00,1.12,5,4
48,5,4,4,4,4,4,5,4,5,4.33,0.50,4,4
49,4,4,2,5,5,3,5,4,5,4.11,1.05,5,4
50,4,0,0,0,0,0,0,0,0,0.44,1.33,0,0
51,3,1,3,3,3,1,4,1,3,2.44,1.13,3,3
52,3,3,3,5,4,4,5,2,5,3.78,1.09,3,4
53,4,3,4,4,5,3,5,4,4,4.00,0.71,4,4
54,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
55,5,4,4,5,5,5,5,4,5,4.67,0.50,5,5
56,4,4,3,5,5,5,5,4,4,4.33,0.71,4,4
57,4,4,3,3,4,3,4,2,2,3.22,0.83,4,3
58,1,1,1,4,2,1,3,2,2,1.89,1.05,1,2
59,4,4,3,4,4,3,4,4,4,3.78,0.44,4,4
60,3,2,3,0,3,3,3,3,3,2.56,1.01,3,3
61,5,4,5,5,5,5,5,5,5,4.89,0.33,5,5
62,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
63,5,3,1,5,4,1,5,3,5,3.56,1.67,5,4
64,5,3,1,5,3,4,5,2,5,3.67,1.50,5,4
65,5,5,5,4,5,5,5,5,5,4.89,0.33,5,5
66,5,2,1,1,5,1,5,5,1,2.89,2.03,5,2
67,2,1,2,1,3,1,4,3,5,2.44,1.42,1,2
68,4,3,4,5,5,3,5,4,4,4.11,0.78,4,4
69,5,4,5,4,5,4,5,3,5,4.44,0.73,5,5
70,3,1,1,2,4,2,4,2,5,2.67,1.41,2,2
71,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
Avg,3.83,3.06,3.11,3.55,3.93,3.01,4.48,3.25,3.87,3.57,0.50,,
SD,1.10,1.31,1.39,1.41,1.11,1.42,0.98,1.19,1.29,,,,
Mode,4,4,3,4,4,3,5,3,5,,,,
Median,4,3,3,4,4,3,5,3,4,,,,
5,23,9,14,19,25,13,47,10,29,189,,,
4,25,21,14,27,26,15,17,21,21,187,,,
3,13,18,23,12,14,18,5,25,10,138,,,
2,8,13,8,3,4,12,0,9,7,64,,,
1,2,8,10,7,0,11,0,4,2,44,,,
Total,71,69,69,68,69,69,69,69,69,622,,,
