response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
2,2,3,2,3,5,1,5,3,5,3.22,1.48,3,3
3,3,3,2,3,3,2,4,2,2,2.67,0.71,3,3
4,2,3,2,4,4,1,3,2,3,2.67,1.00,2,3
5,3,2,1,2,4,2,4,2,3,2.56,1.01,2,2
6,4,3,4,4,3,4,4,2,3,3.44,0.73,4,4
7,5,5,5,5,5,4,5,5,5,4.89,0.33,5,5
8,3,4,2,4,4,5,5,3,3,3.67,1.00,3,4
9,5,4,4,4,5,3,5,1,3,3.78,1.30,5,4
10,4,3,3,3,3,3,5,3,4,3.44,0.73,3,3
11,5,3,4,5,4,3,5,4,4,4.11,0.78,4,4
12,4,3,3,4,5,2,5,5,5,4.00,1.12,5,4
13,1,1,1,1,1,1,3,5,1,1.67,1.41,1,1
14,1,1,1,1,1,1,3,1,1,1.22,0.67,1,1
15,2,1,1,2,3,1,4,2,2,2.00,1.00,2,2
16,4,4,3,5,4,3,5,3,3,3.78,0.83,3,4
17,1,1,0,0,0,0,0,0,0,0.22,0.44,0,0
18,1,1,1,1,1,1,1,1,1,1.00,0.00,1,1
19,4,4,3,5,5,3,4,3,4,3.89,0.78,4,4
20,3,4,1,3,3,1,4,1,2,2.44,1.24,3,3
21,3,3,1,5,1,2,5,1,2,2.56,1.59,1,2
22,1,1,0,1,3,3,4,0,4,1.89,1.62,1,1
23,5,4,4,4,4,4,5,4,4,4.22,0.44,4,4
24,3,2,2,3,3,2,4,3,2,2.67,0.71,3,3
25,4,3,4,4,3,4,5,4,3,3.78,0.67,4,4
26,4,4,4,5,5,4,5,5,5,4.56,0.53,5,5
27,3,3,3,4,4,3,5,2,2,3.22,0.97,3,3
28,4,5,5,4,4,4,5,5,4,4.44,0.53,4,4
29,4,3,4,4,5,4,5,3,3,3.89,0.78,4,4
30,4,3,2,3,3,3,4,1,1,2.67,1.12,3,3
31,3,3,3,3,4,2,5,2,5,3.33,1.12,3,3
32,2,2,1,3,4,1,2,1,1,1.89,1.05,1,2
33,3,2,2,3,2,1,4,2,2,2.33,0.87,2,2
34,2,4,2,1,3,2,4,2,3,2.56,1.01,2,2
35,4,3,2,5,4,3,4,2,5,3.56,1.13,4,4
36,5,5,4,4,4,5,4,5,4,4.44,0.53,4,4
37,4,3,2,3,5,2,5,3,3,3.33,1.12,3,3
38,3,3,2,2,2,1,4,1,4,2.44,1.13,2,2
39,3,4,3,4,4,2,5,3,4,3.56,0.88,4,4
40,4,3,3,3,5,3,5,4,5,3.89,0.93,3,4
41,5,3,4,4,5,3,5,5,5,4.33,0.87,5,5
42,3,4,3,4,5,4,5,3,4,3.89,0.78,4,4
43,4,3,3,3,4,2,5,3,2,3.22,0.97,3,3
44,5,4,5,4,5,4,5,4,4,4.44,0.53,4,4
45,5,4,2,5,4,3,5,4,5,4.11,1.05,5,4
46,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
Avg,3.41,3.13,2.65,3.41,3.65,2.65,4.30,2.83,3.26,3.26,0.53,,
SD,1.26,1.15,1.35,1.33,1.32,1.32,1.09,1.50,1.41,,,,
Mode,4,3,2,4,4,3,5,3,5,,,,
Median,4,3,3,4,4,3,5,3,3,,,,
5,10,5,4,10,14,4,26,9,11,93,,,
4,14,12,10,15,15,9,14,6,11,106,,,
3,12,19,10,12,10,12,3,11,10,99,,,
2,5,4,12,3,2,10,1,10,8,55,,,
1,5,6,8,5,4,10,1,8,5,52,,,
Total,46,46,44,45,45,45,45,44,45,405,,,
