response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,4,4,4,5,4,4,5,4,5,4.33,0.50,4,4
2,4,3,3,4,5,4,5,4,5,4.11,0.78,4,4
3,4,3,2,4,4,4,5,4,4,3.78,0.83,4,4
4,5,3,4,5,5,4,5,3,3,4.11,0.93,5,4
5,1,1,1,1,2,1,3,1,2,1.44,0.73,1,1
6,3,2,2,4,4,4,5,5,5,3.78,1.20,4,4
7,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
8,2,2,1,3,4,1,5,3,4,2.78,1.39,2,3
9,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
10,4,4,4,5,5,4,5,5,5,4.56,0.53,5,5
11,4,4,4,4,4,4,5,5,5,4.33,0.50,4,4
12,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
13,4,4,5,4,5,5,5,5,5,4.67,0.50,5,5
14,4,3,2,3,4,4,5,3,5,3.67,1.00,4,4
15,4,5,4,5,5,5,5,5,5,4.78,0.44,5,5
16,4,3,3,5,4,3,4,4,4,3.78,0.67,4,4
17,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
18,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
19,4,5,4,5,5,4,5,5,5,4.67,0.50,5,5
Avg,4.00,3.74,3.58,4.32,4.47,4.00,4.84,4.26,4.58,4.20,0.41,,
SD,1.05,1.24,1.39,1.06,0.77,1.20,0.50,1.10,0.84,,,,
Mode,4,5,4,5,5,4,5,5,5,,,,
Median,4,4,4,5,5,4,5,5,5,,,,
5,6,7,6,11,11,7,17,11,14,90,,,
4,10,4,6,5,7,9,1,4,3,49,,,
3,1,5,2,2,0,1,1,3,1,16,,,
2,1,2,3,0,1,0,0,0,1,8,,,
1,1,1,2,1,0,2,0,1,0,8,,,
Total,19,19,19,19,19,19,19,19,19,171,,,
