response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,3,2,3,2,4,3,5,3,4,3.22,0.97,3,3
2,4,5,4,4,5,5,5,4,5,4.56,0.53,5,5
3,4,3,3,3,4,3,4,4,4,3.56,0.53,4,4
4,1,1,1,1,2,1,5,1,1,1.56,1.33,1,1
5,4,4,4,4,5,3,5,4,5,4.22,0.67,4,4
6,2,2,3,2,4,2,5,5,5,3.33,1.41,2,3
7,3,3,3,2,4,3,5,3,3,3.22,0.83,3,3
8,4,4,4,3,5,5,5,5,5,4.44,0.73,5,5
9,3,3,4,4,5,4,5,3,5,4.00,0.87,3,4
10,3,4,4,3,5,4,5,3,3,3.78,0.83,3,4
11,3,4,4,3,5,5,5,3,5,4.11,0.93,5,4
12,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
13,2,2,2,3,5,2,4,3,4,3.00,1.12,2,3
14,5,5,5,5,5,5,5,4,4,4.78,0.44,5,5
15,4,4,5,4,5,4,5,5,5,4.56,0.53,5,5
16,4,4,5,4,5,4,5,5,5,4.56,0.53,5,5
17,5,4,5,5,5,5,5,5,5,4.89,0.33,5,5
18,3,2,3,1,5,1,5,3,5,3.11,1.62,3,3
19,2,1,1,2,5,3,4,3,3,2.67,1.32,3,3
20,4,2,3,2,5,4,5,3,4,3.56,1.13,4,4
21,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
22,4,4,4,4,5,5,5,5,5,4.56,0.53,5,5
23,4,4,4,4,5,5,5,5,5,4.56,0.53,5,5
24,4,4,4,3,5,4,5,4,5,4.22,0.67,4,4
25,3,4,3,4,4,4,4,4,3,3.67,0.50,4,4
26,3,3,3,3,5,0,5,3,5,3.33,1.58,3,3
27,3,4,2,4,5,4,5,3,3,3.67,1.00,3,4
28,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
29,3,3,2,2,5,3,5,4,5,3.56,1.24,3,3
30,4,2,3,1,5,4,4,4,5,3.56,1.33,4,4
31,3,3,3,3,5,3,5,5,5,3.89,1.05,3,3
32,3,2,2,2,4,4,5,3,3,3.11,1.05,3,3
33,1,1,1,2,4,2,5,2,3,2.33,1.41,1,2
34,4,4,3,3,5,4,4,4,5,4.00,0.71,4,4
35,3,2,3,2,5,3,5,4,5,3.56,1.24,3,3
Avg,3.43,3.26,3.37,3.11,4.71,3.60,4.83,3.83,4.34,3.83,0.64,,
SD,1.04,1.22,1.19,1.21,0.62,1.31,0.38,1.01,1.00,,,,
Mode,3,4,3,2,5,4,5,3,5,,,,
Median,3,4,3,3,5,4,5,4,5,,,,
5,5,5,7,5,27,10,29,11,22,121,,,
4,12,13,9,9,7,11,6,10,5,82,,,
3,13,6,12,9,0,8,0,12,7,67,,,
2,3,8,4,9,1,3,0,1,0,29,,,
1,2,3,3,3,0,2,0,1,1,15,,,
Total,35,35,35,35,35,34,35,35,35,314,,,
