response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,5,4,4,4,5,4,5,5,5,4.56,0.53,5,5
2,3,3,1,3,4,2,5,2,4,3.00,1.22,3,3
3,5,4,5,5,4,5,5,5,5,4.78,0.44,5,5
4,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
5,5,5,4,5,4,3,5,5,5,4.56,0.73,5,5
6,2,2,1,1,5,2,5,5,5,3.11,1.83,5,2
7,2,2,2,3,4,3,5,4,3,3.11,1.05,2,3
8,4,5,3,3,5,4,5,4,5,4.22,0.83,5,4
9,2,2,2,2,5,3,4,5,5,3.33,1.41,2,3
10,4,4,3,4,4,4,3,4,4,3.78,0.44,4,4
11,3,4,3,5,4,3,4,5,3,3.78,0.83,3,4
12,4,3,5,5,5,4,4,5,5,4.44,0.73,5,5
13,3,3,4,3,5,4,5,5,5,4.11,0.93,5,4
14,4,5,4,4,5,4,5,4,4,4.33,0.50,4,4
15,3,3,2,3,4,3,4,3,4,3.22,0.67,3,3
16,5,5,4,4,4,5,4,4,5,4.44,0.53,4,4
17,3,5,1,2,5,4,5,5,5,3.89,1.54,5,5
18,4,4,3,5,5,5,5,5,5,4.56,0.73,5,5
19,1,2,3,2,2,2,2,2,2,2.00,0.50,2,2
20,4,3,3,4,3,4,3,4,4,3.56,0.53,4,4
21,4,4,4,4,4,4,5,4,4,4.11,0.33,4,4
22,4,4,5,5,5,4,5,4,5,4.56,0.53,5,5
23,5,4,5,5,4,4,5,4,5,4.56,0.53,5,5
24,4,3,2,3,5,4,5,5,5,4.00,1.12,5,4
25,4,4,3,5,4,4,5,4,3,4.00,0.71,4,4
26,2,1,1,3,1,2,3,2,2,1.89,0.78,2,2
27,5,3,3,2,4,3,4,3,4,3.44,0.88,3,3
28,4,3,2,0,3,3,4,3,3,2.78,1.20,3,3
Avg,3.68,3.54,3.11,3.54,4.18,3.61,4.43,4.11,4.25,3.83,0.43,,
SD,1.12,1.10,1.31,1.37,0.98,0.92,0.84,0.99,0.97,,,,
Mode,4,4,3,5,5,4,5,5,5,,,,
Median,4,4,3,4,4,4,5,4,5,,,,
5,7,6,5,9,12,4,17,12,15,87,,,
4,11,9,6,6,12,13,7,10,7,81,,,
3,5,8,8,7,2,7,3,3,4,47,,,
2,4,4,5,4,1,4,1,3,2,28,,,
1,1,1,4,1,1,0,0,0,0,8,,,
Total,28,28,28,27,28,28,28,28,28,251,,,
