response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
2,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
3,5,4,4,4,4,4,4,4,4,4.11,0.33,4,4
4,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
5,4,4,4,4,4,4,4,4,4,4.00,0.00,4,4
6,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
7,1,2,1,3,4,3,5,1,5,2.78,1.64,1,3
8,2,3,2,5,4,4,4,3,4,3.44,1.01,4,4
9,3,3,3,4,5,4,5,3,5,3.89,0.93,3,4
10,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
11,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
12,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
13,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
14,5,4,3,3,4,4,5,5,5,4.22,0.83,5,4
15,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
16,4,4,5,5,5,5,5,5,5,4.78,0.44,5,5
17,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
18,3,4,1,2,5,1,5,3,5,3.22,1.64,5,3
19,5,5,5,3,5,5,5,5,5,4.78,0.67,5,5
20,5,4,4,5,5,5,5,5,5,4.78,0.44,5,5
21,3,5,3,5,4,5,5,3,4,4.11,0.93,5,4
22,4,4,4,5,5,5,5,5,5,4.67,0.50,5,5
23,5,5,5,5,4,4,5,5,5,4.78,0.44,5,5
24,5,5,5,4,5,4,5,4,5,4.67,0.50,5,5
25,3,4,3,4,4,4,5,2,5,3.78,0.97,4,4
26,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
27,5,5,4,5,4,5,5,4,5,4.67,0.50,5,5
28,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
29,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
30,5,4,5,4,5,5,5,5,5,4.78,0.44,5,5
31,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
32,4,4,4,5,5,4,5,5,5,4.56,0.53,5,5
33,5,5,5,4,5,5,5,5,5,4.89,0.33,5,5
34,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
35,5,5,5,4,5,5,5,5,5,4.89,0.33,5,5
36,5,5,4,4,5,5,5,5,5,4.78,0.44,5,5
37,5,2,2,4,5,4,5,4,4,3.89,1.17,4,4
38,4,4,3,4,5,5,5,4,4,4.22,0.67,4,4
39,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
40,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
41,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
42,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
43,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
44,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
45,3,3,3,4,4,2,5,3,5,3.56,1.01,3,3
46,3,4,3,3,4,5,5,5,5,4.11,0.93,5,4
47,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
48,5,5,4,5,5,5,5,4,5,4.78,0.44,5,5
49,3,3,3,4,5,3,5,4,5,3.89,0.93,3,4
50,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
51,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
52,5,4,5,5,5,5,5,5,5,4.89,0.33,5,5
53,5,5,5,5,5,4,5,5,5,4.89,0.33,5,5
54,5,5,1,5,5,5,5,4,5,4.44,1.33,5,5
55,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
56,5,4,5,5,5,5,5,5,5,4.89,0.33,5,5
57,5,5,5,1,5,5,5,4,5,4.44,1.33,5,5
Avg,4.54,4.51,4.26,4.51,4.81,4.61,4.95,4.53,4.89,4.62,0.22,,
SD,0.91,0.78,1.16,0.85,0.40,0.80,0.23,0.87,0.31,,,,
Mode,5,5,5,5,5,5,5,5,5,,,,
Median,5,5,5,5,5,5,5,5,5,,,,
5,43,37,36,38,46,42,54,40,51,387,,,
4,5,14,8,13,11,11,3,10,6,81,,,
3,7,4,8,4,0,2,0,5,0,30,,,
2,1,2,2,1,0,1,0,1,0,8,,,
1,1,0,3,1,0,1,0,1,0,7,,,
Total,57,57,57,57,57,57,57,57,57,513,,,
