response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
2,4,4,4,3,3,3,5,3,4,3.67,0.71,4,4
3,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
4,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
5,4,4,5,5,4,5,4,4,5,4.44,0.53,4,4
6,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
7,2,3,5,2,5,5,5,5,5,4.11,1.36,5,5
8,4,4,3,4,5,5,5,4,5,4.33,0.71,4,4
9,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
10,4,3,3,3,5,4,5,4,5,4.00,0.87,4,4
11,5,4,4,4,4,4,5,5,5,4.44,0.53,4,4
12,1,1,1,1,1,1,1,1,1,1.00,0.00,1,1
13,5,4,4,5,5,5,0,4,5,4.11,1.62,5,5
14,5,5,4,5,5,4,5,5,5,4.78,0.44,5,5
15,5,5,4,5,0,3,5,5,3,3.89,1.69,5,5
16,4,4,5,4,5,5,5,5,4,4.56,0.53,5,5
17,5,5,4,5,5,4,5,5,5,4.78,0.44,5,5
18,4,4,4,4,5,4,5,5,3,4.22,0.67,4,4
19,4,4,4,4,4,4,4,4,4,4.00,0.00,4,4
20,4,4,3,4,5,3,4,4,3,3.78,0.67,4,4
21,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
22,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
23,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
24,3,3,2,2,4,4,4,3,2,3.00,0.87,3,3
25,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
26,4,5,5,4,5,5,5,4,5,4.67,0.50,5,5
27,3,4,2,4,3,3,5,2,3,3.22,0.97,3,3
28,5,4,5,4,5,4,5,4,5,4.56,0.53,5,5
29,5,5,5,5,5,5,5,4,5,4.89,0.33,5,5
30,4,5,5,5,5,5,5,5,5,4.89,0.33,5,5
31,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
32,4,4,5,5,5,5,5,4,4,4.56,0.53,5,5
33,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
34,5,5,5,4,5,4,5,4,5,4.67,0.50,5,5
35,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
36,5,5,5,4,5,5,5,5,5,4.89,0.33,5,5
37,5,5,5,5,5,4,5,5,5,4.89,0.33,5,5
38,5,4,4,5,4,5,5,5,5,4.67,0.50,5,5
39,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
40,3,1,2,1,1,1,5,1,1,1.78,1.39,1,1
41,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
42,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
43,4,4,3,3,5,5,5,5,5,4.33,0.87,5,5
44,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
45,5,4,4,4,5,5,5,5,5,4.67,0.50,5,5
46,4,5,4,4,5,4,5,4,4,4.33,0.50,4,4
47,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
48,5,4,5,5,4,3,5,5,5,4.56,0.73,5,5
49,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
50,4,4,5,4,0,4,5,5,5,4.00,1.58,4,4
51,5,5,4,5,5,5,5,4,5,4.78,0.44,5,5
52,4,5,3,5,5,3,5,4,5,4.33,0.87,5,5
53,5,3,4,3,5,5,5,5,5,4.44,0.88,5,5
54,4,5,5,5,5,5,5,5,5,4.89,0.33,5,5
55,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
56,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
57,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
58,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
59,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
60,5,5,5,4,5,5,5,5,5,4.89,0.33,5,5
61,5,4,5,5,5,4,5,5,5,4.78,0.44,5,5
62,3,3,2,3,5,4,5,5,5,3.89,1.17,5,4
63,5,5,4,5,4,5,5,5,5,4.78,0.44,5,5
64,5,4,4,5,5,5,5,5,5,4.78,0.44,5,5
65,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
66,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
67,5,5,4,4,5,5,5,5,5,4.78,0.44,5,5
68,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
69,5,5,4,4,5,5,5,5,5,4.78,0.44,5,5
70,5,4,5,4,5,5,5,5,5,4.78,0.44,5,5
71,5,4,5,5,4,4,5,5,4,4.56,0.53,5,5
72,5,4,4,4,4,3,5,4,5,4.22,0.67,4,4
73,4,3,4,4,5,4,5,5,4,4.22,0.67,4,4
74,4,4,5,5,5,4,5,5,5,4.67,0.50,5,5
75,5,4,5,5,5,4,5,5,5,4.78,0.44,5,5
76,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
77,4,3,4,2,5,4,5,4,4,3.89,0.93,4,4
Avg,4.56,4.40,4.35,4.39,4.60,4.47,4.83,4.60,4.65,4.54,0.15,,
SD,0.77,0.86,0.91,0.96,1.07,0.87,0.75,0.83,0.85,,,,
Mode,5,5,5,5,5,5,5,5,5,,,,
Median,5,5,5,5,5,5,5,5,5,,,,
5,52,44,43,47,62,49,71,56,62,486,,,
4,19,24,24,20,9,19,4,16,8,143,,,
3,4,7,5,5,2,7,0,2,4,36,,,
2,1,0,4,3,0,0,0,1,1,10,,,
1,1,2,1,2,2,2,1,2,2,15,,,
Total,77,77,77,77,75,77,76,77,77,690,,,
