response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,1,3,2,3,5,3,4,3,5,3.22,1.30,3,3
2,5,5,4,5,5,4,5,4,4,4.56,0.53,5,5
3,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
4,5,5,5,5,5,4,5,5,5,4.89,0.33,5,5
5,4,5,4,5,5,5,5,5,4,4.67,0.50,5,5
6,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
7,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
8,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
9,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
10,4,5,4,3,5,5,4,4,3,4.11,0.78,4,4
11,3,2,5,3,4,3,4,3,3,3.33,0.87,3,3
12,4,3,4,5,5,4,5,5,4,4.33,0.71,4,4
13,4,5,5,5,5,3,5,4,5,4.56,0.73,5,5
14,4,5,3,3,5,5,5,4,5,4.33,0.87,5,5
15,3,4,5,4,5,5,5,4,5,4.44,0.73,5,5
16,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
17,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
18,4,5,5,5,5,5,5,5,5,4.89,0.33,5,5
19,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
20,4,4,3,5,4,4,5,4,5,4.22,0.67,4,4
21,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
22,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
23,4,4,4,4,5,5,4,4,4,4.22,0.44,4,4
24,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
25,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
26,4,5,4,5,5,5,5,5,5,4.78,0.44,5,5
27,5,4,5,5,5,5,5,5,0,4.33,1.66,5,5
28,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
29,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
30,4,5,4,5,5,4,5,5,5,4.67,0.50,5,5
31,4,3,3,3,4,4,4,3,3,3.44,0.53,3,3
32,3,3,4,4,4,5,5,2,4,3.78,0.97,4,4
33,4,3,3,2,4,4,5,4,5,3.78,0.97,4,4
34,4,4,3,5,5,5,5,4,4,4.33,0.71,4,4
35,4,3,3,3,5,3,5,5,5,4.00,1.00,3,4
36,4,4,4,4,5,4,5,4,4,4.22,0.44,4,4
37,4,3,3,3,5,3,5,5,5,4.00,1.00,3,4
38,4,5,3,5,5,5,5,3,5,4.44,0.88,5,5
39,5,5,5,5,4,5,5,5,5,4.89,0.33,5,5
40,5,4,5,5,5,4,5,5,5,4.78,0.44,5,5
41,4,4,4,4,5,5,5,5,5,4.56,0.53,5,5
42,4,5,4,4,5,4,5,3,4,4.22,0.67,4,4
43,5,5,5,4,5,5,4,4,5,4.67,0.50,5,5
44,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
45,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
46,4,4,4,4,4,4,5,4,4,4.11,0.33,4,4
47,4,3,3,4,4,5,5,3,2,3.67,1.00,4,4
48,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
49,4,5,5,4,4,5,5,5,4,4.56,0.53,5,5
50,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
Avg,4.36,4.44,4.32,4.46,4.82,4.58,4.88,4.46,4.52,4.54,0.19,,
SD,0.78,0.84,0.84,0.81,0.39,0.67,0.33,0.79,0.95,,,,
Mode,5,5,5,5,5,5,5,5,5,,,,
Median,4,5,5,5,5,5,5,5,5,,,,
5,24,32,27,32,41,34,44,31,35,300,,,
4,22,9,13,10,9,11,6,12,10,102,,,
3,3,8,9,7,0,5,0,6,3,41,,,
2,0,1,1,1,0,0,0,1,1,5,,,
1,1,0,0,0,0,0,0,0,0,1,,,
Total,50,50,50,50,50,50,50,50,49,449,,,
