response,l1,l2,l3,l4,l5,l6,l7,l8,l9,oe1,oe2,oe3
001,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the course work because they covered all the aspects of the course,False,he is kind and willing to help the students
002,4_Often,3_Sometimes,3_Sometimes,2_Rarely,3_Sometimes,4_Often,5_Always,3_Sometimes,4_Often,topics and discussions,the assignments maybe (some of them),organization
003,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,almost everything,nothing,"he was really friendly, a very organized person"
004,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the way the lectures are planned makes them interesting and fun,nothing comes to mind,communication and encoruaging students to participate
005,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,I like this course because instructor teaching style and mostly like how he understand the students,I would like to change about this course if professor give any assignment like scenarios writing it should be helpful,instructors greatest strengths are he understand students properly
006,3_Sometimes,4_Often,4_Often,3_Sometimes,5_Always,4_Often,5_Always,5_Always,5_Always,slow-paced activities with no rush or pain; respectful professor,"it is good as it is, but marks were slow to be returned",respectful; knowledgeable; listens to student input; able to make changes in himself/course if needed; cool and good!
007,3_Sometimes,4_Often,4_Often,4_Often,4_Often,4_Often,5_Always,3_Sometimes,3_Sometimes,Hepting classes in general are always interesting,better management of group work,he's very respectful of students
008,4_Often,4_Often,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,in-class discussions,,stimulating discussion and encouraging participation
009,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,this course has helped in improving my creative side; the course is carefully planned,I am quite satisified by it,his teaching skills
010,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,4_Often,4_Often,5_Always,"content, project",nothing,relevant knowledge about the course
011,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,I enjoyed the course discussions and content; the videos we watched were very thought-provoking,"this course does not need improvement, but URcourses and moodle does! URcourses should automatically reset dates to 2017, but oh well",the instructor is always open to discussion and has a great sense of humour!
012,5_Always,5_Always,5_Always,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,"the interactive nature in class, ability to work on a semester long project to have a hands-on experience with design",,he encourages student participation
013,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the instructor made the course attractive for us; we never felt bored in the class; he interacted with everyone,I don't find any drawback about this course,instructor's greatest strength is the feedback from us; he has provided discussion forum for all the meeting in order to solve the problems which we are facing; he helped us in all best possible ways
014,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the pace and the lessons,"more workshops, learn how to ask the right questions to stakeholders and users and apply it to a project","calm, easy, good instructor, enjoyed this class"
015,4_Often,5_Always,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,the course is broadly done by group interactions and discussions,NIL,he is a cool guy
016,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the course content and perspectives on designing,nothing,ability to engage students by giving out maps to redesign and show videos of design implementations
017,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,is practical,nothing major,his teaching philosophy
018,3_Sometimes,4_Often,5_Always,3_Sometimes,3_Sometimes,2_Rarely,3_Sometimes,4_Often,4_Often,this course teach me more for design and how to do it,the final exam should be design an interface,
019,3_Sometimes,3_Sometimes,3_Sometimes,3_Sometimes,5_Always,3_Sometimes,5_Always,4_Often,5_Always,the material was interesting; the design project was neat,more guidelines and clearer explanations; better use of class time,good at starting conversation about topics; good at thinking outside of the box
020,4_Often,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the discussion and interaction is next to none,how off-topic it seems to get sometimes,his rapport with students and the respect that he gives them; makes class discussion actually feel like a discussion and not an interrogation
021,4_Often,4_Often,3_Sometimes,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,it helped me to understand design principles,,"stays up-to-date, provides real-world examples"
022,3_Sometimes,3_Sometimes,3_Sometimes,3_Sometimes,5_Always,3_Sometimes,5_Always,4_Often,5_Always,class discussion,nothing,engaging the class in discussion
023,4_Often,4_Often,4_Often,3_Sometimes,5_Always,4_Often,5_Always,5_Always,5_Always,the class directly relates to real world and is able to be used in many applications; allows us to look at many things from a different perspective,don't know if it should be changed but it is a good opportunity to redesign a real application in the school as a class or in groups; great real world experience,strong vocabulary that can remove confusion (sometimes make it though)
024,4_Often,4_Often,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,discussions,nothing,
025,3_Sometimes,2_Rarely,2_Rarely,3_Sometimes,4_Often,3_Sometimes,5_Always,3_Sometimes,4_Often,it was different from most other CS classes and opened my eyes to different ways of thinking about software,less groupwork,encouraging students to think outside the box
026,3_Sometimes,3_Sometimes,2_Rarely,3_Sometimes,4_Often,3_Sometimes,4_Often,2_Rarely,3_Sometimes,"spaghetti video, so true; personally thin with no visible solids",assign group topics; don't make us choose something,
027,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,4_Often,4_Often,the project work helped a lot to understand some class concepts,"have more support materials (class notes, power points); less assignments (was 1 every Monday); exams more practical and less writing",??? and always try to understand the students and help; great knowledge
028,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,,,
029,4_Often,4_Often,4_Often,3_Sometimes,5_Always,4_Often,5_Always,5_Always,4_Often,interesting and applicable subject matter,more specific requirements on assignments (vs. your choice),engaging but not intimidating
030,4_Often,5_Always,4_Often,5_Always,5_Always,4_Often,5_Always,5_Always,4_Often,this course helped me to learn how to do a better design for any system,,the instructor has more knowledge about the subject
031,5_Always,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,this is one of the useful course; there must be more practical assignments than a theoretical paper submission,there must be more practical assignments; marks should be given early if possible,"one of the best instructors, he is very polite and calm and understand students situation and very co-ooperative with his students"
032,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,4_Often,5_Always,,,
033,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the topics are clearly discussed and explained,nothing,the friendly and joyful nature and clarity of thoughts
034,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,about how to design,,clear expectations
035,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,interactive classes,nothing,relating real life design problem with what is taught in course and discussions in class
036,4_Often,4_Often,3_Sometimes,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,interactive and group work,more course content should be presented like ppt and pdf,ease to present and make course easy to learn and score
037,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,flexibility of writing final exam with alternatives provided by instructor,NIL,his patience while explaining every silly question and tough question asked by students
038,4_Often,4_Often,3_Sometimes,4_Often,5_Always,3_Sometimes,5_Always,4_Often,5_Always,the simplicity and clarity with which Dr. Hepting explained difficult concepts,please include a ppt for better understanding,simplicity and clarity
039,5_Always,5_Always,5_Always,4_Often,5_Always,4_Often,5_Always,5_Always,4_Often,,,
040,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,getting different ideas in class by discussion and instructor way of teaching,,"experience, way of teaching, and encouraging nature"
041,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the focus on the practical situations and real world problems; the class was fun and the videos were awesome and encouraging,there should be some field work included in this course,"the way he presents his thoughts through videos, etc.; treat students kindly and encourages discussions"
042,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,interesting class with high level concepts,,"informative, knowledgeable, and helpful"
043,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the course does not force the students to follow a single path to learn something; students have a platform to think and express ideas about the things they learn,the time (class should have been kept at some time in the morning),the instructor allows the students to express their view and ideas about a topic and does not try to force his view on students
044,4_Often,5_Always,4_Often,5_Always,4_Often,4_Often,5_Always,4_Often,5_Always,it was an excellent opportunity to thoroughly engage with and explore design methodologies,a formative evaluation and timely marking of assignments would be very helpful; there was no opportunity to receive feedback and improve over the semester,his knowledge of design methodology and ability to critique interfaces of all kinds
045,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,videos and it was a very interesting class,nothing,giving respect to student opinions about everything
046,3_Sometimes,4_Often,4_Often,4_Often,4_Often,4_Often,5_Always,3_Sometimes,4_Often,it involves thinking effectively,excessively long writing in exams,listening to and respecting students
047,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,encouragement of students to ask questions and have discussions,,
048,4_Often,4_Often,4_Often,5_Always,5_Always,4_Often,4_Often,5_Always,5_Always,dealing with the various interfaces; thinking both creatively and logically,getting the marks in a timely fashion,smart; available outside of class; kind
049,4_Often,4_Often,3_Sometimes,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,gave ability to see things differently; realized how many opportunities out there for redesign; design thinking,more clear understanding of course at the beginning because it was vague at the start,"he broadens our perception without making us realize that we are broadening it and being creative. I never knew when I step out of my comfort zone until very end. It was like a Christopher Nolan movie where you make all the sense in the end; ability to reach, encourage students; empathy"
050,5_Always,5_Always,4_Often,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,learning new things is fun in this class,nothing for now,he encourages students to implement their own ideas. He supports student ideas
051,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,freedom on the project,nothing,communicate with students
052,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,interaction and exposure to user design; the TED talk videos,nothing,carry students along and make students to think deeply
053,5_Always,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,student engagement and interactive nature of the instructor,I would like to learn more with a practical aspect of building a prototype,thought process and conveying ideas subtly; the ability to engage students in discovering their own creativity and potential
