response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,5,4,5,4,5,4,5,5,5,4.67,0.50,5,5
2,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
3,5,4,5,5,5,5,5,5,5,4.89,0.33,5,5
4,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
5,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
6,5,4,4,4,5,5,5,5,5,4.67,0.50,5,5
7,4,3,4,4,5,4,5,4,4,4.11,0.60,4,4
8,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
9,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
10,3,4,3,5,3,4,4,3,3,3.56,0.73,3,3
11,3,4,3,5,4,4,4,3,3,3.67,0.71,3,4
12,5,5,5,3,5,5,5,5,5,4.78,0.67,5,5
13,5,5,4,5,5,4,5,4,5,4.67,0.50,5,5
14,3,3,4,3,5,5,5,3,4,3.89,0.93,3,4
15,3,3,1,1,5,3,5,4,5,3.33,1.58,3,3
16,5,4,5,4,5,5,5,5,5,4.78,0.44,5,5
17,5,5,5,4,5,5,4,4,5,4.67,0.50,5,5
18,5,4,3,5,4,4,5,5,4,4.33,0.71,5,4
19,4,4,4,4,4,4,5,4,4,4.11,0.33,4,4
20,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
21,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
22,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
23,5,4,5,5,5,5,5,5,5,4.89,0.33,5,5
24,5,4,5,4,3,4,5,5,4,4.33,0.71,5,4
25,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
26,3,3,3,4,5,4,5,3,4,3.78,0.83,3,4
27,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
28,4,5,3,5,5,5,5,5,5,4.67,0.71,5,5
29,5,4,4,3,5,4,5,5,5,4.44,0.73,5,5
30,5,5,5,4,5,5,5,5,5,4.89,0.33,5,5
31,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
32,5,4,3,4,5,4,5,4,5,4.33,0.71,5,4
33,4,4,2,4,5,2,5,5,5,4.00,1.22,5,4
34,3,3,2,3,4,4,5,4,5,3.67,1.00,3,4
35,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
36,5,5,4,5,5,5,5,4,5,4.78,0.44,5,5
37,5,2,3,3,4,3,5,4,4,3.67,1.00,3,4
38,5,4,5,4,5,5,5,4,5,4.67,0.50,5,5
39,5,3,4,2,5,2,5,4,4,3.78,1.20,5,4
40,2,3,3,3,5,5,5,5,5,4.00,1.22,5,5
41,5,4,4,5,5,5,5,4,5,4.67,0.50,5,5
42,4,4,4,3,5,4,5,3,4,4.00,0.71,4,4
43,5,4,4,4,5,5,5,5,5,4.67,0.50,5,5
44,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
45,5,5,5,5,5,3,5,5,5,4.78,0.67,5,5
46,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
47,4,4,1,3,5,4,5,2,4,3.56,1.33,4,4
48,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
49,5,5,5,5,5,4,5,4,4,4.67,0.50,5,5
50,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
51,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
52,4,4,4,4,5,4,5,5,5,4.44,0.53,4,4
53,5,4,5,5,5,4,5,5,5,4.78,0.44,5,5
54,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
55,5,4,5,4,5,5,5,4,5,4.67,0.50,5,5
56,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
57,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
58,5,5,5,4,4,5,5,5,5,4.78,0.44,5,5
Avg,4.62,4.34,4.26,4.33,4.83,4.50,4.95,4.53,4.74,4.57,0.46,,
SD,0.75,0.76,1.05,0.91,0.46,0.76,0.22,0.73,0.52,,,,
Mode,5,5,5,5,5,5,5,5,5,,,,
Median,5,4.5,5,5,5,5,5,5,5,,,,
5,44,29,33,32,50,36,55,38,45,362,,,
4,7,21,13,16,6,17,3,14,11,108,,,
3,6,7,8,8,2,3,0,5,2,41,,,
2,1,1,2,1,0,2,0,1,0,8,,,
1,0,0,2,1,0,0,0,0,0,3,,,
Total,58,58,58,58,58,58,58,58,58,522,,,
