response,l1,l2,l3,l4,l5,l6,l7,l8,l9,oe1,oe2,oe3
001,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,its simplicity,nothing,kindness
002,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,activities,,
003,5_Always,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,it is interesting,nothing,"communicative, encourages interaction"
004,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,"interaction with students, creativity",nothing,"interaction, explaining with examples"
005,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,the instructor makes and clearly states expectations in assignments and midterm,the three days of class would have been much better if it is 2 days to give students more time to study because of other classes,explanation and open to feedback
006,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the course is very interesting and interactive; I like the course because it helps me to think outside the box of things I never took notice of,,
007,1_Never,2_Rarely,1_Never,3_Sometimes,4_Often,3_Sometimes,5_Always,1_Never,5_Always,,,
008,2_Rarely,3_Sometimes,2_Rarely,5_Always,4_Often,4_Often,4_Often,3_Sometimes,4_Often,,,
009,3_Sometimes,3_Sometimes,3_Sometimes,4_Often,5_Always,4_Often,5_Always,3_Sometimes,5_Always,,,
010,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,,,
011,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,thinking out of the box; prof encourages us to bring up creative ideas,nothing,quality of lecture; command on this subject; planning and organizing lectures and assignments
012,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,,,
013,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,everything,nothing,the discussion
014,5_Always,4_Often,3_Sometimes,3_Sometimes,4_Often,4_Often,5_Always,5_Always,5_Always,learning by doing and applying,more structure for classes,"punctual, structured with course work, very updated and therefore the course material is actually updated with latest buzz topics"
015,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,everything about the course is good,nothing,
016,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,interactive participation by students,,
017,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the professor incites the class to learn about various different topics everyday and shares personal experiences to help understand confusing topics,cannot make any suggestions on this question at this time,calm and understanding nature; legible expectations and clarity explanations
018,3_Sometimes,4_Often,1_Never,2_Rarely,5_Always,1_Never,5_Always,3_Sometimes,5_Always,"its easy, but so far it has been topics I was already relatively familiar with, because I've been a SaaS dev before; I look forward to getting to the deeper stuff to hopefully improve my own designs","it feels a little too psychology-ish, and not enough computer sciene-ish",
019,5_Always,5_Always,5_Always,3_Sometimes,5_Always,5_Always,5_Always,5_Always,5_Always,the focus on creativity and understanding of the user's needs,the guidelines and slides are very hard to find; it would be great to have easy access to those in URcourses,knowledge and respectful behaviour
020,5_Always,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,very useful course for my career; good instructor,nothing,teaching skills; gives respect to students
021,3_Sometimes,5_Always,3_Sometimes,5_Always,4_Often,5_Always,5_Always,3_Sometimes,4_Often,,,
022,4_Often,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the course is more lively and encourages the students to come up with real some examples,nothing,his ability to make students more engaging
