Times,Mon,Tue,Wed,Thu,Fri
00:00-08:30,B_,B_,B_,B_,B_
08:30-09:00,B_,B_,B_,B_,B_
09:00-09:30,B_,B_,B_,B_,B_
09:30-10:00,B_,B_,B_,B_,B_
10:00-10:30,B_,B_,B_,B_,B_
10:30-11:00,B_,O_Office,B_,O_Office,B_
11:00-11:30,B_,O_Office,B_,O_Office,B_
11:30-12:00,B_,O_Office,B_,O_Office,B_
12:00-12:30,B_,B_,B_,B_,B_
12:30-13:00,B_,B_,B_,B_,B_
13:00-13:30,B_,B_,B_,B_,B_
13:30-14:00,B_,B_,B_,B_,B_
14:00-14:30,B_,B_,B_,B_,B_
14:30-15:00,C_CS-315+733,B_,C_CS-315+733,B_,B_
15:00-15:30,C_CS-315+733,B_,C_CS-315+733,B_,B_
15:30-16:00,C_CS-315+733,B_,C_CS-315+733,B_,B_
16:00-16:30,B_,B_,B_,B_,B_
16:30-17:00,B_,B_,B_,B_,B_
17:00-17:30,B_,B_,B_,B_,B_
17:30-23:59,B_,B_,B_,B_,B_
